web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597855332-1500","https://www.serebii.net//attackdex-sm/infernooverdrive.shtml","Inferno Overdrive","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","1","The user breathes a stream of intense fire toward the target with the full force of its Z-Power. The power varies depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855511-1589","https://www.serebii.net//attackdex-sm/freezyfrost.shtml","Freezy Frost","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","90","The user attacks with a crystal made of cold frozen haze. It eliminates every stat change among all the Pokémon engaged in battle.","Resets all ability stages.","100 %","0","4.17%","Selected Target","No","100","","","","null"
"1597855060-1364","https://www.serebii.net//attackdex-sm/powerswap.shtml","Power Swap","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.","Switches user's Attack & SP. ATT stat increases with opponent.","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855666-1666","https://www.serebii.net//attackdex-sm/dragonpulse.shtml","Dragon Pulse","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/special.png","85","The target is attacked with a shock wave generated by the user's gaping mouth.","No effect.","-- %","0","4.17%","Selected Target","No","100","Devastating Drake","160","Devastating Drake","null"
"1597854960-1316","https://www.serebii.net//attackdex-sm/roaroftime.shtml","Roar of Time","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/special.png","150","The user blasts the target with power that distorts even time. The user can't move on the next turn.","User cannot Attack on the next turn.","-- %","0","4.17%","Selected Target","No","90","Devastating Drake","200","Devastating Drake","null"
"1597855589-1628","https://www.serebii.net//attackdex-sm/featherdance.shtml","Feather Dance","/pokedex-bw/type/flying.gif","/pokedex-bw/type/other.png","0","The user covers the target's body with a mass of down that harshly lowers its Attack stat.","Lowers opponent's Attack two stages.","-- %","0","None","Selected Target","No","100","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855186-1427","https://www.serebii.net//attackdex-sm/mist.shtml","Mist","/pokedex-bw/type/ice.gif","/pokedex-bw/type/other.png","0","The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.","Stops stat reduction.","-- %","0","None","Ally","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597855374-1521","https://www.serebii.net//attackdex-sm/hydropump.shtml","Hydro Pump","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","110","The target is blasted by a huge volume of water launched under great pressure.","No effect.","-- %","0","4.17%","Selected Target","No","80","Hydro Vortex","185","Hydro Vortex","null"
"1597855178-1423","https://www.serebii.net//attackdex-sm/moongeistbeam.shtml","Moongeist Beam","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/special.png","100","The user emits a sinister ray to attack the target. This move can be used on the target regardless of  its Abilities.","Ignores abilities","-- %","0","4.17%","Selected Target","No","100","Never-Ending Nightmare","180","Never-Ending Nightmare","null"
"1597855616-1641","https://www.serebii.net//attackdex-sm/energyball.shtml","Energy Ball","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","90","The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat.","May lower opponent's Special Defense one stage.","10 %","0","4.17%","Selected Target","No","100","Bloom Doom","175","Bloom Doom","null"
"1597855650-1658","https://www.serebii.net//attackdex-sm/drillrun.shtml","Drill Run","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","80","The user crashes into its target while rotating its body like a drill. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","Yes","95","Tectonic Rage","160","Tectonic Rage","null"
"1597855280-1474","https://www.serebii.net//attackdex-sm/lick.shtml","Lick","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/physical.png","30","The target is licked with a long tongue, causing damage. This may also leave the target with paralysis.","May induce paralysis.","30 %","0","4.17%","Selected Target","Yes","100","Never-Ending Nightmare","100","Never-Ending Nightmare","null"
"1597855913-1788","https://www.serebii.net//attackdex-sm/attract.shtml","Attract","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.","Causes the opponent to be inflicted with Infatuation","-- %","0","None","Selected Target","No","100","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855070-1369","https://www.serebii.net//attackdex-sm/pound.shtml","Pound","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","40","The target is physically pounded with a long tail, a foreleg, or the like.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854921-1297","https://www.serebii.net//attackdex-sm/sandtomb.shtml","Sand Tomb","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","35","The user traps the target inside a harshly raging sandstorm for four to five turns.","Traps opponent.","100 %","0","4.17%","Selected Target","No","85","Tectonic Rage","100","Tectonic Rage","null"
"1597855019-1344","https://www.serebii.net//attackdex-sm/pulverizingpancake.shtml","Pulverizing Pancake","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","210","Z-Power brings out the true capabilities of the user, Snorlax. The Pokémon moves its enormous body energetically and attacks the target with full force.","No effect.","-- %","0","4.17%","Selected Target","Yes","0","null","null","Secondary Effect:","null"
"1597855176-1422","https://www.serebii.net//attackdex-sm/moonlight.shtml","Moonlight","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","The user restores its own HP. The amount of HP regained varies with the weather.","User restores HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855066-1367","https://www.serebii.net//attackdex-sm/powdersnow.shtml","Powder Snow","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","40","The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokémon.","May induce freeze.","10 %","0","4.17%","All Adjacent Foes","No","100","Subzero Slammer","100","Subzero Slammer","null"
"1597854553-1115","https://www.serebii.net//attackdex-sm/whirlpool.shtml","Whirlpool","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","35","The user traps the target in a violent swirling whirlpool for four to five turns.","Traps the opponent for 4 to 5 turns","100 %","0","4.17%","Selected Target","No","85","Hydro Vortex","100","Hydro Vortex","null"
"1597854599-1138","https://www.serebii.net//attackdex-sm/twinkletackle.shtml","Twinkle Tackle","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/physical.png","1","The user creates a very charming space using its Z-Power and totally toys with the target. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597854690-1183","https://www.serebii.net//attackdex-sm/sweetscent.shtml","Sweet Scent","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","A sweet scent that harshly lowers opposing Pokémon's evasiveness.","Lowers opponent's Evasion two stages.","-- %","0","None","All Adjacent Foes","No","100","null","null","Accuracy ↥","Boosts Accuracy by 1 stage"
"1597854607-1142","https://www.serebii.net//attackdex-sm/triplekick.shtml","Triple Kick","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","10","A consecutive three-kick attack that becomes more powerful with each successive hit.","Attacks 1-3 times in a row.","-- %","0","4.17%","Selected Target","Yes","90","All-Out Pummeling","120","All-Out Pummeling","null"
"1597855525-1596","https://www.serebii.net//attackdex-sm/followme.shtml","Follow Me","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user draws attention to itself, making all targets take aim only at the user.","Draws Attacks towards the user rather than ally","-- %","2","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854676-1176","https://www.serebii.net//attackdex-sm/tailglow.shtml","Tail Glow","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.","Raises user's Special Attack three stages.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597854519-1098","https://www.serebii.net//attackdex-sm/zenheadbutt.shtml","Zen Headbutt","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/physical.png","80","The user focuses its willpower to its head and attacks the target. This may also make the target flinch.","May cause opponent to flinch.","20 %","0","4.17%","Selected Target","Yes","90","Shattered Psyche","160","Shattered Psyche","null"
"1597855352-1510","https://www.serebii.net//attackdex-sm/icefang.shtml","Ice Fang","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","65","The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.","May FREEZE opponent or cause opponent to flinch.","20 %","0","4.17%","Selected Target","Yes","95","Subzero Slammer","120","Subzero Slammer","null"
"1597855750-1708","https://www.serebii.net//attackdex-sm/cottonspore.shtml","Cotton Spore","/pokedex-bw/type/grass.gif","/pokedex-bw/type/other.png","0","The user releases cotton-like spores that cling to the opposing Pokémon, which harshly lowers their Speed stat.","Lowers opponent's Speed two stages.","-- %","0","None","All Adjacent Foes","No","100","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855296-1482","https://www.serebii.net//attackdex-sm/leafblade.shtml","Leaf Blade","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","90","The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","Yes","100","Bloom Doom","175","Bloom Doom","null"
"1597855200-1434","https://www.serebii.net//attackdex-sm/mindblown.shtml","Mind Blown","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","150","The user attacks everything around it by causing its own head to explode. This also damages the user.","User loses half their Maximum Hit Points. This effect is ignored by Magic Guard.","-- %","0","4.17%","All Adjacent Pokémon","No","100","Inferno Overdrive","200","Inferno Overdrive","null"
"1597855815-1740","https://www.serebii.net//attackdex-sm/burnup.shtml","Burn Up","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","130","To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.","Removes Fire-type from user. If user was pure Fire-type, it is now without a type.","-- %","0","4.17%","Selected Target","No","100","Inferno Overdrive","195","Inferno Overdrive","null"
"1597854737-1206","https://www.serebii.net//attackdex-sm/stoneedge.shtml","Stone Edge","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","100","The user stabs the target from below with sharpened stones. Critical hits land more easily.","Has an increased Critical Hit ratio","-- %","0","12.5%","Selected Target","No","80","Continental Crush","180","Continental Crush","null"
"1597855683-1674","https://www.serebii.net//attackdex-sm/doubleteam.shtml","Double Team","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.","Raises user's Evasion one stage.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855396-1532","https://www.serebii.net//attackdex-sm/highhorsepower.shtml","High Horsepower","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","95","The user fiercely attacks the target using its entire body.","No effect.","-- %","0","4.17%","Selected Target","Yes","95","Tectonic Rage","175","Tectonic Rage","null"
"1597855244-1456","https://www.serebii.net//attackdex-sm/magnetbomb.shtml","Magnet Bomb","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","60","The user launches steel bombs that stick to the target. This attack never misses.","Cannot miss.","-- %","0","4.17%","Selected Target","No","0","Corkscrew Crash","120","Corkscrew Crash","null"
"1597855943-1803","https://www.serebii.net//attackdex-sm/all-outpummeling.shtml","All-Out Pummeling","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","1","The user rams an energy orb created by its Z-Power into the target with full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
